id,dates,hour,psi
0,2017-12-01,0,27
1,2017-12-01,1,22
2,2017-12-01,2,19
3,2017-12-01,3,17
4,2017-12-01,4,16
5,2017-12-01,5,12
6,2017-12-01,6,11
7,2017-12-01,7,9
8,2017-12-01,8,9
9,2017-12-01,9,9
10,2017-12-01,10,10
11,2017-12-01,11,11
12,2017-12-01,12,14
13,2017-12-01,13,19
14,2017-12-01,14,22
15,2017-12-01,15,25
16,2017-12-01,16,28
17,2017-12-01,17,32
18,2017-12-01,18,33
19,2017-12-01,19,31
20,2017-12-01,20,27
21,2017-12-01,21,22
22,2017-12-01,22,18
23,2017-12-01,23,14
24,2017-12-02,0,11
25,2017-12-02,1,8
26,2017-12-02,2,6
27,2017-12-02,3,7
28,2017-12-02,4,8
29,2017-12-02,5,9
30,2017-12-02,6,10
31,2017-12-02,7,11
32,2017-12-02,8,11
33,2017-12-02,9,11
34,2017-12-02,10,11
35,2017-12-02,11,12
36,2017-12-02,12,14
37,2017-12-02,13,17
38,2017-12-02,14,22
39,2017-12-02,15,24
40,2017-12-02,16,30
41,2017-12-02,17,34
42,2017-12-02,18,36
43,2017-12-02,19,37
44,2017-12-02,20,34
45,2017-12-02,21,30
46,2017-12-02,22,25
47,2017-12-02,23,22
48,2017-12-03,0,16
49,2017-12-03,1,12
50,2017-12-03,2,9
51,2017-12-03,3,7
52,2017-12-03,4,7
53,2017-12-03,5,6
54,2017-12-03,6,6
55,2017-12-03,7,6
56,2017-12-03,8,7
57,2017-12-03,9,7
58,2017-12-03,10,8
59,2017-12-03,11,10
60,2017-12-03,12,13
61,2017-12-03,13,16
62,2017-12-03,14,20
63,2017-12-03,15,25
64,2017-12-03,16,30
65,2017-12-03,17,34
66,2017-12-03,18,36
67,2017-12-03,19,38
68,2017-12-03,20,38
69,2017-12-03,21,37
70,2017-12-03,22,33
71,2017-12-03,23,29
72,2017-12-04,0,24
73,2017-12-04,1,21
74,2017-12-04,2,18
75,2017-12-04,3,15
76,2017-12-04,4,12
77,2017-12-04,5,11
78,2017-12-04,6,9
79,2017-12-04,7,9
80,2017-12-04,8,8
81,2017-12-04,9,7
82,2017-12-04,10,7
83,2017-12-04,11,8
84,2017-12-04,12,10
85,2017-12-04,13,14
86,2017-12-04,14,18
87,2017-12-04,15,23
88,2017-12-04,16,25
89,2017-12-04,17,26
90,2017-12-04,18,26
91,2017-12-04,19,24
92,2017-12-04,20,22
93,2017-12-04,21,17
94,2017-12-04,22,13
95,2017-12-04,23,9
96,2017-12-05,0,6
97,2017-12-05,1,5
98,2017-12-05,2,4
99,2017-12-05,3,5
100,2017-12-05,4,5
101,2017-12-05,5,5
102,2017-12-05,6,5
103,2017-12-05,7,5
104,2017-12-05,8,4
105,2017-12-05,9,4
106,2017-12-05,10,5
107,2017-12-05,11,7
108,2017-12-05,12,8
109,2017-12-05,13,9
110,2017-12-05,14,12
111,2017-12-05,15,18
112,2017-12-05,16,22
113,2017-12-05,17,23
114,2017-12-05,18,25
115,2017-12-05,19,24
116,2017-12-05,20,23
117,2017-12-05,21,24
118,2017-12-05,22,21
119,2017-12-05,23,16
120,2017-12-06,0,13
121,2017-12-06,1,12
122,2017-12-06,2,10
123,2017-12-06,3,10
124,2017-12-06,4,9
125,2017-12-06,5,8
126,2017-12-06,6,7
127,2017-12-06,7,7
128,2017-12-06,8,6
129,2017-12-06,9,5
130,2017-12-06,10,5
131,2017-12-06,11,5
132,2017-12-06,12,8
133,2017-12-06,13,11
134,2017-12-06,14,14
135,2017-12-06,15,20
136,2017-12-06,16,26
137,2017-12-06,17,32
138,2017-12-06,18,36
139,2017-12-06,19,36
140,2017-12-06,20,35
141,2017-12-06,21,31
142,2017-12-06,22,29
143,2017-12-06,23,23
144,2017-12-07,0,17
145,2017-12-07,1,11
146,2017-12-07,2,7
147,2017-12-07,3,6
148,2017-12-07,4,7
149,2017-12-07,5,8
150,2017-12-07,6,9
151,2017-12-07,7,10
152,2017-12-07,8,10
153,2017-12-07,9,10
154,2017-12-07,10,11
155,2017-12-07,11,12
156,2017-12-07,12,12
157,2017-12-07,13,14
158,2017-12-07,14,17
159,2017-12-07,15,20
160,2017-12-07,16,21
161,2017-12-07,17,20
162,2017-12-07,18,19
163,2017-12-07,19,18
164,2017-12-07,20,16
165,2017-12-07,21,13
166,2017-12-07,22,9
167,2017-12-07,23,5
168,2017-12-08,0,4
169,2017-12-08,1,4
170,2017-12-08,2,4
171,2017-12-08,3,4
172,2017-12-08,4,4
173,2017-12-08,5,4
174,2017-12-08,6,5
175,2017-12-08,7,5
176,2017-12-08,8,5
177,2017-12-08,9,6
178,2017-12-08,10,7
179,2017-12-08,11,8
180,2017-12-08,12,10
181,2017-12-08,13,12
182,2017-12-08,14,14
183,2017-12-08,15,16
184,2017-12-08,16,18
185,2017-12-08,17,19
186,2017-12-08,18,20
187,2017-12-08,19,21
188,2017-12-08,20,20
189,2017-12-08,21,19
190,2017-12-08,22,18
191,2017-12-08,23,17
192,2017-12-09,0,16
193,2017-12-09,1,15
194,2017-12-09,2,15
195,2017-12-09,3,15
196,2017-12-09,4,15
197,2017-12-09,5,14
198,2017-12-09,6,14
199,2017-12-09,7,14
200,2017-12-09,8,13
